"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"A_001","0.00","0.00","0.00","0.00","0.00","0.30","0.17","0.00","0.00","0.41","0.33","0.00","0.02","0.07","0.16","0.00"
"A_002","0.00","0.00","0.00","0.00","0.00","0.21","0.31","0.00","0.00","0.38","0.46","0.07","0.00","0.17","0.20","0.02"
"A_003","0.00","0.05","0.09","0.00","0.00","0.35","0.38","0.00","0.00","0.33","0.33","0.16","0.00","0.13","0.00","0.28"
"A_004","0.00","0.00","0.06","0.00","0.00","0.26","0.21","0.00","0.00","0.41","0.31","0.00","0.00","0.19","0.25","0.00"
"A_005","0.00","0.13","0.00","0.00","0.00","0.45","0.29","0.00","0.00","0.27","0.27","0.00","0.00","0.51","0.31","0.05"
"A_006","0.00","0.03","0.01","0.00","0.00","0.25","0.25","0.00","0.00","0.34","0.31","0.09","0.00","0.51","0.16","0.25"
"A_007","0.00","0.00","0.00","0.00","0.00","0.25","0.26","0.00","0.02","0.22","0.24","0.00","0.12","0.23","0.22","0.02"
"A_008","0.00","0.02","0.05","0.00","0.00","0.14","0.22","0.00","0.00","0.28","0.24","0.06","0.15","0.01","0.00","0.12"
"A_009","0.00","0.05","0.14","0.00","0.00","0.21","0.08","0.01","0.00","0.27","0.13","0.14","0.05","0.14","0.00","0.23"
"A_010","0.06","0.19","0.00","0.00","0.33","0.39","0.17","0.00","0.64","0.45","0.26","0.00","0.25","0.00","0.45","0.00"
"A_011","0.00","0.00","0.00","0.00","0.00","0.28","0.05","0.00","0.00","0.39","0.43","0.00","0.00","0.39","0.30","0.04"
"A_012","0.02","0.02","0.03","0.04","0.00","0.30","0.09","0.00","0.04","0.31","0.37","0.00","0.18","0.07","0.22","0.00"
"A_013","0.03","0.11","0.03","0.04","0.00","0.45","0.04","0.00","0.08","0.46","0.32","0.00","0.16","0.01","0.24","0.00"
"A_014","0.02","0.00","0.02","0.02","0.00","0.31","0.11","0.00","0.02","0.44","0.37","0.00","0.18","0.02","0.16","0.02"
"A_015","0.04","0.04","0.23","0.05","0.00","0.31","0.33","0.00","0.00","0.58","0.45","0.02","0.00","0.21","0.15","0.10"
"A_016","0.05","0.01","0.07","0.08","0.02","0.34","0.12","0.00","0.19","0.31","0.48","0.00","0.26","0.01","0.29","0.00"
"A_017","0.07","0.11","0.14","0.06","0.00","0.31","0.22","0.00","0.00","0.37","0.32","0.00","0.00","0.25","0.07","0.00"
"A_018","0.05","0.12","0.41","0.07","0.00","0.31","0.12","0.07","0.00","0.41","0.31","0.19","0.00","0.28","0.01","0.20"
"A_019","0.04","0.02","0.00","0.04","0.00","0.32","0.15","0.00","0.06","0.42","0.39","0.00","0.23","0.00","0.23","0.00"
"A_020","0.05","0.01","0.02","0.02","0.07","0.40","0.12","0.00","0.29","0.21","0.26","0.00","0.31","0.02","0.31","0.00"
"A_021","0.02","0.04","0.01","0.02","0.08","0.52","0.00","0.00","0.30","0.04","0.25","0.00","0.25","0.45","0.37","0.00"
"A_022","0.03","0.04","0.04","0.06","0.00","0.16","0.26","0.00","0.00","0.31","0.45","0.03","0.01","0.08","0.01","0.10"
"A_023","0.06","0.05","0.24","0.06","0.00","0.16","0.39","0.00","0.00","0.38","0.38","0.00","0.00","0.19","0.00","0.05"
"A_024","0.06","0.03","0.03","0.04","0.00","0.18","0.00","0.00","0.06","0.30","0.16","0.00","0.23","0.26","0.26","0.00"
"A_025","0.03","0.04","0.05","0.07","0.00","0.16","0.16","0.00","0.00","0.32","0.45","0.00","0.12","0.05","0.12","0.00"
"A_026","0.00","0.00","0.00","0.00","0.00","0.40","0.06","0.00","0.09","0.15","0.33","0.00","0.16","0.19","0.22","0.00"
"A_027","0.00","0.09","0.12","0.00","0.00","0.23","0.27","0.00","0.01","0.21","0.36","0.03","0.12","0.18","0.31","0.00"
"A_028","0.00","0.15","0.02","0.00","0.00","0.28","0.32","0.00","0.07","0.15","0.39","0.07","0.21","0.15","0.01","0.26"
"A_029","0.00","0.00","0.26","0.01","0.00","0.14","0.08","0.15","0.00","0.25","0.03","0.24","0.06","0.20","0.21","0.29"
"A_030","0.00","0.20","0.05","0.00","0.00","0.25","0.30","0.00","0.05","0.28","0.30","0.00","0.15","0.06","0.25","0.00"
"A_031","0.07","0.12","0.20","0.00","0.00","0.25","0.25","0.03","0.00","0.25","0.23","0.18","0.08","0.31","0.17","0.24"
"A_032","0.00","0.10","0.23","0.00","0.00","0.21","0.25","0.00","0.10","0.18","0.25","0.02","0.17","0.00","0.02","0.20"
"A_033","0.00","0.00","0.00","0.00","0.00","0.37","0.22","0.00","0.06","0.15","0.20","0.00","0.24","0.21","0.29","0.01"
"A_034","0.00","0.00","0.13","0.00","0.00","0.26","0.23","0.00","0.15","0.12","0.12","0.05","0.12","0.16","0.12","0.13"
"A_035","0.00","0.12","0.00","0.00","0.01","0.26","0.10","0.00","0.17","0.00","0.26","0.00","0.21","0.13","0.28","0.00"
